approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,kl_coef,mutual_info_coef,mutual_info_coef1,mutual_info_loss,mutual_info_loss1,nupdates,policy_entropy,policy_loss,serial_timesteps,student_ps,student_ps_coef,student_ps_loss,time_elapsed,total_timesteps,value_loss,vf_student_ps,vf_student_ps_coef,vf_student_ps_loss
0.03350734,0.42104492,867.0,4469.350817,0.23518913984298706,244,0.10000026,0.5,0.5,-8.638009,-7.487914,706,-10.674695,-0.050668307,1445888,0.91935956,0.30296135,0.0865552,5818.463010549545,1445888,0.09282855,0.9506258,0.06059246,0.050648175
0.037193954,0.44750977,1000.0,5220.723947,0.29373639822006226,244,0.10000026,0.5,0.5,-8.624084,-7.5196495,707,-10.700277,-0.056057036,1447936,0.9201377,0.30410007,0.08565484,5826.838358163834,1447936,0.093067124,0.9509368,0.060819823,0.05032012
0.034174703,0.4225586,1000.0,5188.492539999999,0.257418692111969,241,0.10000026,0.5,0.5,-8.622725,-7.5874023,708,-10.721822,-0.05140578,1449984,0.9209549,0.30523872,0.08470945,5835.32716012001,1449984,0.093958616,0.9512409,0.061047874,0.050000686
0.034943968,0.426416,827.6666666666666,4368.318408,0.24750816822052002,246,0.10000026,0.5,0.5,-8.648969,-7.56437,709,-10.744173,-0.051794194,1452032,0.92171955,0.3063789,0.083825395,5843.645596981049,1452032,0.09454417,0.9515322,0.061275523,0.04969389
0.034577575,0.43100587,1000.0,5260.0104425,0.21189016103744507,240,0.10000026,0.5,0.5,-8.67248,-7.494027,710,-10.775698,-0.050527554,1454080,0.92242527,0.30751783,0.08301315,5852.150143623352,1454080,0.09563838,0.95181876,0.06150359,0.04939252
0.036674973,0.43916017,1000.0,5218.406927,0.3331493139266968,240,0.10000026,0.5,0.5,-8.590065,-7.592959,711,-10.80771,-0.057415746,1456128,0.92318183,0.3086553,0.08214429,5860.6536700725555,1456128,0.09277538,0.952102,0.0617313,0.049095243
0.033809748,0.43046874,1000.0,5220.1533915,0.24345088005065918,240,0.10000026,0.5,0.5,-8.6356945,-7.499823,712,-10.82647,-0.053580552,1458176,0.92395866,0.309794,0.08125297,5869.156944513321,1458176,0.09385846,0.9523816,0.06195894,0.048801087
0.03603606,0.43500978,699.3333333333334,3590.5132843333336,0.2707362771034241,241,0.10000026,0.5,0.5,-8.6146145,-7.5644546,713,-10.838379,-0.05591602,1460224,0.9246448,0.31093413,0.080466166,5877.624552726746,1460224,0.092031226,0.9526618,0.06218701,0.04850649
0.033939116,0.4314453,1000.0,5132.9691695,0.29205840826034546,241,0.10000026,0.5,0.5,-8.600276,-7.603096,714,-10.854332,-0.05704071,1462272,0.9251898,0.31207278,0.07984357,5886.119258642197,1462272,0.09021233,0.9529425,0.062414356,0.04821147
0.032574054,0.42109376,1000.0,5126.2105495,0.27492058277130127,238,0.10000026,0.5,0.5,-8.623977,-7.5284286,715,-10.861302,-0.05483184,1464320,0.92570287,0.31321138,0.079259016,5894.714586496353,1464320,0.09117411,0.9532099,0.06264243,0.047931053
0.03466075,0.42832032,853.0,4430.795216666666,0.28748154640197754,243,0.10000026,0.5,0.5,-8.641379,-7.572325,716,-10.871367,-0.05798378,1466368,0.9264296,0.31435162,0.07842818,5903.140142202377,1466368,0.091613635,0.95348203,0.06287006,0.047645155
0.033717282,0.41445312,670.0,3448.5376513333335,0.29059451818466187,242,0.10000026,0.5,0.5,-8.644959,-7.5109277,717,-10.881787,-0.051130217,1468416,0.9270917,0.31549028,0.07767334,5911.588240861893,1468416,0.09084839,0.95375556,0.06309775,0.047358535
0.033582516,0.41655272,676.3333333333334,3439.8203610000005,0.349372923374176,243,0.10000026,0.5,0.5,-8.573253,-7.6051316,718,-10.899226,-0.058196813,1470464,0.9276658,0.31662798,0.077019095,5920.01499581337,1470464,0.09063424,0.95401824,0.063325845,0.047082268
0.036859322,0.4357422,1000.0,5221.7328915,0.26688188314437866,243,0.10000026,0.5,0.5,-8.694005,-7.4828887,719,-10.911331,-0.052850485,1472512,0.928367,0.31776664,0.07622071,5928.41415643692,1472512,0.09108049,0.9542729,0.06355347,0.046815824
0.035568245,0.42924803,1000.0,5241.547184,0.2309054732322693,242,0.10000026,0.5,0.5,-8.620184,-7.6203966,720,-10.930254,-0.05158625,1474560,0.9290388,0.31890687,0.07545492,5936.854487657547,1474560,0.092298985,0.9545293,0.06378155,0.046546884
0.03480721,0.4277832,1000.0,5198.63348,0.2686372399330139,245,0.10000026,0.5,0.5,-8.666084,-7.5803695,721,-10.958384,-0.05492575,1476608,0.9296355,0.3200455,0.07477834,5945.204112291336,1476608,0.09138769,0.9547798,0.06400889,0.046284165
0.03435226,0.40751952,796.0,4098.442217,0.29826152324676514,242,0.10000026,0.5,0.5,-8.628593,-7.5691924,722,-10.983663,-0.052103538,1478656,0.9302123,0.32118407,0.07412448,5953.633513450623,1478656,0.09204595,0.9550315,0.06423699,0.046020366
0.034880064,0.42158204,768.3333333333334,3978.759482333333,0.2904282808303833,241,0.10000026,0.5,0.5,-8.613471,-7.610724,723,-11.000538,-0.05696846,1480704,0.9308392,0.32232442,0.07341521,5962.121026515961,1480704,0.09052009,0.9552843,0.06446461,0.045756154
0.03381702,0.42402345,697.3333333333334,3593.0114283333332,0.2819877862930298,242,0.10000026,0.5,0.5,-8.715081,-7.5185876,724,-11.016919,-0.057546705,1482752,0.93144923,0.323463,0.07272595,5970.581504821777,1482752,0.09073111,0.95553905,0.064692274,0.04548861
0.03455701,0.42338866,1000.0,5303.679188,0.263546884059906,244,0.10000026,0.5,0.5,-8.634218,-7.6589785,725,-11.031996,-0.050539523,1484800,0.93193245,0.32460067,0.07217999,5978.958830356598,1484800,0.09413894,0.955788,0.06492039,0.045227997
0.033561148,0.42333984,1000.0,5245.0414485,0.24185019731521606,244,0.10000026,0.5,0.5,-8.754958,-7.5186872,726,-11.048557,-0.05410557,1486848,0.9324052,0.3257392,0.07164694,5987.333788871765,1486848,0.09348963,0.9560219,0.06514799,0.044983886
